execution_id,task_id,entry_type,requester_id,intent_name,reason_for_pending,status,idempotency_key,created_at,updated_at
08cdf1d7-37fd-4d5a-ad95-076e3a5f34a5,16c89c00-ece8-4dc7-b2d1-650b66d74752,structured,user_test_001,ops_query,,created,test-structured-idempotent,2026-02-04 13:14:35.967444+00,2026-02-04 13:14:35.967444+00
4f69b6f3-853e-4491-b0c3-e0bcaa826426,ef3bc24a-8784-4529-b859-7f3a01165f8f,raw_query,router_test_user,ops_query,,created,,2026-02-06 13:33:37.219296+00,2026-02-06 13:33:37.219296+00
7a352004-10ca-41a5-87e3-f506204341a2,23bcc297-5a30-482a-ab49-511ba9581878,raw_query,6129457002,ops_query,,created,,2026-02-03 09:21:05.725744+00,2026-02-03 09:21:05.725744+00
83fd1728-0375-4ffa-9a26-0f4c03d63eb0,f5160b29-655a-4a71-a57d-8eb93e0bd396,raw_query,6129457001,ops_query,,created,,2026-02-03 09:20:16.627577+00,2026-02-03 09:20:16.627577+00
911988fc-012e-4fff-9815-1d6deab7c39e,04d1f2e5-1a89-4b7b-b8f6-068d839b50df,structured,user_test_001,ops_query,,created,test-structured-001,2026-02-04 09:28:22.053727+00,2026-02-04 09:28:22.053727+00
a15cbc3d-2269-4171-8284-2ac2f6554524,b7afe6a1-b258-46a3-8b39-8c9d3194648d,raw_query,6129457001,ops_query,,created,,2026-02-04 09:17:57.640417+00,2026-02-04 09:17:57.640417+00
ae06b43d-abd2-43f5-9368-bb24cc5f660b,ad79b622-233a-4ead-82ba-6538658168e3,raw_query,router_test_user,ops_query,,created,,2026-02-07 12:52:25.86673+00,2026-02-07 12:52:25.86673+00
afc44bb9-07b1-4a96-9536-1bd8f799618e,787aaf16-552c-4ad4-a6b2-ac35bef51d18,raw_query,6129457001,ops_query,,created,,2026-02-04 13:22:37.606081+00,2026-02-04 13:22:37.606081+00
c702567a-1800-4d5d-8d23-858c62541f5f,2a2cb1bd-9f26-4f35-abde-e75f0ac402bc,timeline,system_cron,publish_single,,created,timeline_tl_test_003,2026-02-04 13:15:51.533993+00,2026-02-04 13:15:51.533993+00
c926f578-12da-4b77-816a-e85d0ed7afe4,5384ca14-38a7-4102-bab8-68d95eadb5a7,raw_query,6129457003,mixed,,created,,2026-02-03 09:21:52.106195+00,2026-02-03 09:21:52.106195+00
d415ea88-00d6-476c-a1b5-8b8a7383ce47,3705073d-1d67-4170-869b-37c8893b28c7,raw_query,6129457001,ops_query,,created,,2026-02-03 09:16:22.82625+00,2026-02-03 09:16:22.82625+00
d77708f7-5581-4ff0-8d80-604e2d770722,2900c764-7b35-4149-a026-8e91d6d07fc5,raw_query,6129457001,ops_query,,created,,2026-02-04 13:24:21.985988+00,2026-02-04 13:24:21.985988+00
d81de643-9235-403a-a0b5-6bae5b10443d,85f9a91f-a4d7-4357-8d35-b7ddff54988d,raw_query,100202,ops_query,,created,,2026-02-04 13:24:58.400708+00,2026-02-04 13:24:58.400708+00
d84e78d6-3aff-4256-8c6d-7af0cdca0db8,62884449-181c-4f19-b382-fe160206d725,timeline,system_cron,publish_single,,created,timeline_tl_test_001,2026-02-04 09:03:50.339104+00,2026-02-04 09:03:50.339104+00
f6eb6e95-7732-476e-be55-4640a44fd475,3bed10e1-0e8d-47fa-b4dd-a08bee05275c,raw_query,test_user,ops_query,,created,,2026-02-05 03:19:49.649593+00,2026-02-05 03:19:49.649593+00
fa5bda2b-fef7-4eda-875f-2cc527abd5b6,a4c7ce83-e1ef-45de-b70d-6c906b86c92d,raw_query,test_user,ops_query,,created,,2026-02-05 03:11:13.167427+00,2026-02-05 03:11:13.167427+00